2017-06-06 09:36:44,698 [Worker-245] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-06 09:36:44,700 [Worker-245] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\MRuser\Desktop\Project_Workspace\socialnetworking\src\test\resources
2017-06-06 09:37:02,866 [Worker-244] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-06 09:37:02,869 [Worker-244] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-06 09:37:02,872 [Worker-244] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-06 09:37:02,874 [Worker-244] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\MRuser\Desktop\Project_Workspace\socialnetworking\src\test\resources
2017-06-06 09:37:10,597 [Worker-246] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-06 09:37:10,601 [Worker-246] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-06 09:37:10,603 [Worker-246] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-06 09:37:10,606 [Worker-246] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\MRuser\Desktop\Project_Workspace\socialnetworking\src\test\resources
2017-06-06 11:15:59,296 [Worker-286] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-06 11:15:59,311 [Worker-286] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-06 11:15:59,315 [Worker-286] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-06 11:15:59,317 [Worker-286] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\MRuser\Desktop\Project_Workspace\socialnetworking\src\test\resources
2017-06-06 11:16:25,287 [Worker-287] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-06 11:16:25,290 [Worker-287] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-06 11:16:25,295 [Worker-287] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-06 11:16:25,297 [Worker-287] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\MRuser\Desktop\Project_Workspace\socialnetworking\src\test\resources
2017-06-06 11:17:33,093 [Worker-286] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-06 11:17:33,096 [Worker-286] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-06 11:17:33,102 [Worker-286] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-06 11:17:33,104 [Worker-286] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\MRuser\Desktop\Project_Workspace\socialnetworking\src\test\resources
2017-06-06 11:18:07,265 [Worker-283] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-06 11:18:07,267 [Worker-283] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-06 11:18:07,269 [Worker-283] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-06 11:18:07,271 [Worker-283] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\MRuser\Desktop\Project_Workspace\socialnetworking\src\test\resources
2017-06-06 11:18:24,526 [Worker-282] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-06 11:18:24,528 [Worker-282] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-06 11:18:24,530 [Worker-282] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-06 11:18:24,532 [Worker-282] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\MRuser\Desktop\Project_Workspace\socialnetworking\src\test\resources
2017-06-06 11:18:34,007 [Worker-291] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-06 11:18:34,010 [Worker-291] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-06 11:18:34,012 [Worker-291] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-06 11:18:34,014 [Worker-291] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\MRuser\Desktop\Project_Workspace\socialnetworking\src\test\resources
2017-06-06 11:19:03,842 [Worker-291] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-06 11:19:03,846 [Worker-291] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-06 11:19:03,848 [Worker-291] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-06 11:19:03,850 [Worker-291] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\MRuser\Desktop\Project_Workspace\socialnetworking\src\test\resources
2017-06-06 11:19:26,954 [Worker-289] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-06 11:19:26,957 [Worker-289] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-06 11:19:26,958 [Worker-289] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-06 11:19:26,960 [Worker-289] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\MRuser\Desktop\Project_Workspace\socialnetworking\src\test\resources
2017-06-06 11:31:37,639 [Worker-295] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-06 11:31:37,642 [Worker-295] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-06 11:31:37,644 [Worker-295] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-06 11:31:37,646 [Worker-295] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\MRuser\Desktop\Project_Workspace\socialnetworking\src\test\resources
2017-06-06 11:32:13,483 [Worker-301] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-06 11:32:13,486 [Worker-301] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-06 11:32:13,487 [Worker-301] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-06 11:32:13,489 [Worker-301] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\MRuser\Desktop\Project_Workspace\socialnetworking\src\test\resources
2017-06-06 11:34:59,997 [Worker-295] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-06 11:35:00,000 [Worker-295] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-06 11:35:00,002 [Worker-295] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-06 11:35:00,004 [Worker-295] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\MRuser\Desktop\Project_Workspace\socialnetworking\src\test\resources
2017-06-06 11:49:30,899 [Worker-313] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-06 11:49:30,902 [Worker-313] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-06 11:49:30,905 [Worker-313] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-06 11:49:30,907 [Worker-313] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\MRuser\Desktop\Project_Workspace\socialnetworking\src\test\resources
2017-06-06 11:57:31,216 [Worker-319] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-06 11:57:31,219 [Worker-319] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-06 11:57:31,220 [Worker-319] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-06 11:57:31,222 [Worker-319] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\MRuser\Desktop\Project_Workspace\socialnetworking\src\test\resources
2017-06-06 12:00:36,629 [Worker-322] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-06 12:00:36,634 [Worker-322] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-06 12:00:36,636 [Worker-322] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-06 12:00:36,638 [Worker-322] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\MRuser\Desktop\Project_Workspace\socialnetworking\src\test\resources
2017-06-06 12:03:20,864 [Worker-323] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-06 12:03:20,867 [Worker-323] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-06 12:03:20,870 [Worker-323] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-06 12:03:20,872 [Worker-323] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\MRuser\Desktop\Project_Workspace\socialnetworking\src\test\resources
2017-06-06 12:03:30,745 [Worker-323] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-06 12:03:30,747 [Worker-323] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-06 12:03:30,750 [Worker-323] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-06 12:03:30,752 [Worker-323] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\MRuser\Desktop\Project_Workspace\socialnetworking\src\test\resources
2017-06-06 12:04:10,027 [Worker-323] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-06 12:04:10,031 [Worker-323] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-06 12:04:10,033 [Worker-323] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-06 12:04:10,035 [Worker-323] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\MRuser\Desktop\Project_Workspace\socialnetworking\src\test\resources
2017-06-06 12:07:01,765 [Worker-330] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-06 12:07:01,768 [Worker-330] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-06 12:07:01,770 [Worker-330] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-06 12:07:01,772 [Worker-330] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\MRuser\Desktop\Project_Workspace\socialnetworking\src\test\resources
2017-06-06 12:07:06,220 [Worker-333] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-06 12:07:06,223 [Worker-333] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-06 12:07:06,233 [Worker-333] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-06 12:07:06,236 [Worker-333] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\MRuser\Desktop\Project_Workspace\socialnetworking\src\test\resources
2017-06-06 12:09:20,706 [Worker-330] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-06 12:09:20,708 [Worker-330] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
